,name,_timestamp,final/radius,final/mape_train,metrics/mape_val,runtime (secs),final/%rmse_val,final/loss_train,final/loss_val,final/mape_val,final/mape_test,final/%rmse_test,_step,loss/val,loss/train,final/scaling,metrics/%rmse_val,_runtime,train time,final/loss_test,final/%rmse_train,loss,seed,model,epochs,dropout,scaling,distance,batch_size,len_sequence,multiplicity,weight_decay,learning_rate,embedding_size,num_val_sequences,num_test_sequences,num_train_sequences
36,cnn_hyperbolic_64,1683467150,0.10971099883317947,0.04100132790788428,0.04174390660241397,1417,0.7917884965002989,3.118367794509554e-05,6.26929023190204e-05,0.04525996820041628,0.044116910893045015,0.6886759345540591,97,7.40547448742401e-05,2.0099249928841947e-05,1.1271404027938845,0.8605506659938164,1416,1397.6597850322723,4.7427454283390655e-05,0.5584234768085555,mse,46,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,64,100,150,7000
37,cnn_hyperbolic_64,1683465723,0.10909702628850936,0.04025361089369693,0.04241701658777517,1464,0.8364895999241865,3.0580072666559214e-05,6.997148507813255e-05,0.04595709277975439,0.04357960894837209,0.7066935583788857,99,8.999789047238389e-05,2.0657296562733666e-05,1.138978362083435,0.948672179798606,1463,1446.7229726314545,4.994157854542115e-05,0.5529925195385487,mse,45,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,64,100,150,7000
38,cnn_hyperbolic_64,1683464250,0.11232949793338776,0.03494874131679535,0.041092230633954806,1774,0.7918933210596563,2.3425387214814832e-05,6.270950319388918e-05,0.04241796672494724,0.04305397542031019,0.7174738715937816,120,7.646721860363308e-05,1.7579936823530225e-05,1.1121718883514404,0.8744553653768331,1774,1755.674148797989,5.1476875641977025e-05,0.48399780180094654,mse,44,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,64,100,150,7000
39,cnn_hyperbolic_64,1683462466,0.11121739447116852,0.03468975324212731,0.04319577989403647,2279,0.8149279092313156,2.240216715668416e-05,6.641074972441232e-05,0.04375113127659066,0.04114152186085581,0.6985900757184055,127,7.154493766126571e-05,1.786517128975784e-05,1.1099618673324585,0.8458424064875544,2279,2260.5291368961334,4.880280938922475e-05,0.47330927686539337,mse,43,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,64,100,150,7000
40,cnn_hyperbolic_32,1683460173,0.10961037874221802,0.04666437545147809,0.04835039052698347,1947,0.855202910197197,4.715175658287541e-05,7.313720176097551e-05,0.04824776520783251,0.048168887119298544,0.8231521105746167,96,8.927598709976677e-05,3.16190181716569e-05,1.10647714138031,0.9448597096911624,1947,1922.4067449569704,6.775793971434461e-05,0.6866713666877002,mse,46,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,32,100,150,7000
41,cnn_hyperbolic_32,1683458213,0.119280606508255,0.03687315311602184,0.04593688367292134,3714,0.8408396578491714,3.1307899413740734e-05,7.070113302119113e-05,0.04547578258797376,0.04188673066412842,0.7493276115152855,183,9.33000845940445e-05,2.666000059300084e-05,1.0413247346878052,0.965919689177338,3713,3689.0013258457184,5.614918693792027e-05,0.5595346228227591,mse,45,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,32,100,150,7000
42,cnn_hyperbolic_32,1683454489,0.11363939195871352,0.03807434190809727,0.04470586642020881,2010,0.8148584286293435,3.4243019523746156e-05,6.639942587082829e-05,0.04365290213263396,0.04327958984596351,0.7530746192046971,136,9.147161124579872e-05,2.9190768299899487e-05,1.08691143989563,0.9564079215784378,2009,1991.3466584682465,5.671213820902995e-05,0.5851753542635417,mse,44,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,32,100,150,7000
43,cnn_hyperbolic_32,1683452469,0.11049320548772812,0.04230319862899842,0.04315758046327215,1441,0.8436587083638764,4.134380279294844e-05,7.117600161982042e-05,0.04734401138743969,0.04791247085236863,0.7894208344225168,97,7.245866182869337e-05,3.105910610923144e-05,1.11476731300354,0.8512265375838171,1439,1421.850265264511,6.231852538203425e-05,0.642991468006757,mse,43,cnn,500,0,True,hyperbolic,128,2368,11,0,0.001,32,100,150,7000
44,cnn_hyperbolic_16,1683451019,0.11136701703071594,0.05612638634094944,0.05952002941960036,1552,1.0524784087534096,9.047543687833618e-05,0.0001107710800892109,0.057800770924247874,0.059016004453436105,1.1192659836781025,104,0.0001349538794220096,8.030802252938269e-05,1.0678319931030271,1.161696515540998,1552,1533.4612619876862,0.00012527563422189096,0.95118576985958,mse,46,cnn,400,0,True,hyperbolic,128,2368,11,0,0.001,16,100,150,7000
45,cnn_hyperbolic_16,1683449456,0.10933436453342438,0.055025319187285066,0.06102702424381719,2012,1.1326359856785346,8.982996746456226e-05,0.0001282864276053986,0.06185836664956025,0.05854934048165945,1.060151154112924,101,0.00015841239238995118,8.083553218914728e-05,1.072284460067749,1.25861984884218,2011,1992.3589017391205,0.00011239204695669652,0.9477867242400174,mse,45,cnn,400,0,True,hyperbolic,128,2368,11,0,0.001,16,100,150,7000
46,cnn_hyperbolic_16,1683447432,0.10893107950687408,0.05959074942361225,0.05637507791471,1903,1.0844672043670007,0.00010023022444945966,0.0001176069117347578,0.060003160783136736,0.06275709651793943,1.088872991781382,94,0.00013648947884300442,7.907370155202466e-05,1.0884217023849487,1.1682871172918257,1903,1878.7330451011655,0.00011856443922309377,1.0011504604676544,mse,44,cnn,400,0,True,hyperbolic,128,2368,11,0,0.001,16,100,150,7000
47,cnn_hyperbolic_16,1683445516,0.12717264890670776,0.05079055951129306,0.05595015844311377,3651,1.0327456121666097,8.154053259308317e-05,0.00010665634994493854,0.0539650990279636,0.05677681549183474,1.056988239100219,179,0.00012402362417138058,7.519761156880405e-05,0.9408794045448304,1.1136589431750663,3650,3626.2830860614777,0.0001117224137596182,0.9029979656293982,mse,43,cnn,400,0,True,hyperbolic,128,2368,11,0,0.001,16,100,150,7000
48,cnn_hyperbolic_8,1683441851,0.8826817870140076,0.05780780683012752,0.061479145869462175,4440,1.0359222363037912,0.00010891154195429974,0.00010731348796686476,0.05736325220026151,0.05765834222703972,1.0341152250766743,216,0.00012658888789839252,9.396325311375564e-05,0.0470176599919796,1.1251172734359407,4440,4415.342770814896,0.00010693942987353808,1.0436069276997912,mse,46,cnn,300,0,True,hyperbolic,128,2368,11,0,0.001,8,100,150,7000
49,cnn_hyperbolic_8,1683437398,0.8419628143310547,0.05729985594401112,0.06645426584915681,4321,1.1003120964580342,0.00011637058656121447,0.00012106867096118742,0.06015015303185492,0.05811448047791818,1.061780639831858,209,0.0001691202974509015,9.379858779342992e-05,0.0515771359205246,1.300462600196182,4321,4296.771819829941,0.000112737812712175,1.0787519944881423,mse,45,cnn,300,0,True,hyperbolic,128,2368,11,0,0.001,8,100,150,7000
