"Name","distance","embedding_size","final/%rmse_test","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dropout","epochs","learning_rate","len_sequence","loss","model","multiplicity","num_test_sequences","num_train_sequences","num_val_sequences","scaling","seed","weight_decay","loss/train","loss/val","metrics/%rmse_val","metrics/mape_val","final/%rmse_train","final/%rmse_val","final/loss_test","final/loss_train","final/loss_val","final/mape_test","final/mape_train","final/mape_val","final/radius","final/scaling","train time"
"cnn_euclidean_6","euclidean","6","2.2847446685683925","finished","-","eitan-turok","","2023-05-07T21:53:22.000Z","3083","","128","0","200","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.0004269754105616458","0.0004838538885991456","2.1996679035689586","0.1176289748663854","2.069933861791123","2.1698739676837757","0.0005220058200551693","0.00042846261921895113","0.0004708353035631731","0.12217032993799888","0.1162368651357564","0.11721271214461086","","","3054.214531183243"
"cnn_euclidean_6","euclidean","6","2.328174448465609","finished","-","eitan-turok","","2023-05-07T21:27:57.000Z","1515","","128","0","200","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.00043668479559483465","0.0005642855585778527","2.375469550589636","0.12271448505045188","2.1395356015779887","2.2327375227520148","0.0005420396262488142","0.0004577612590419685","0.0004985116845504804","0.125651070715597","0.11916138720976842","0.12114048592369966","","","1487.550101995468"
"cnn_euclidean_4","euclidean","4","3.1712852925449613","finished","-","eitan-turok","","2023-05-07T21:02:53.000Z","1497","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.000880494668632262","0.0008815013252509137","2.9690087996685253","0.16117726363919","2.97477725615584","2.9664159584016185","0.001005705040671198","0.000884929972374207","0.0008799623638259793","0.16964655924296754","0.1639031961583472","0.16170780148169006","","","1475.4048700332642"
"cnn_euclidean_4","euclidean","4","3.1226792906786134","finished","-","eitan-turok","","2023-05-07T20:28:46.000Z","2040","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.0008935703553150517","0.0009346466682230432","3.0571991564552077","0.16508315596315595","3.0059566446031023","3.0102390623340356","0.0009751125952433086","0.000903577534923354","0.0009061539212401691","0.16793380174327482","0.16346528058392662","0.1619501121116407","","","2018.0734567642212"
"cnn_euclidean_4","euclidean","4","3.205461728827651","finished","-","eitan-turok","","2023-05-07T19:53:56.000Z","2080","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.0008833273667539773","0.000937518725228129","3.0618927564957743","0.1587075760448822","2.9769705270593763","3.0099953142198883","0.0010274984894978751","0.0008862353518980181","0.0009060071791625684","0.17198882269379276","0.16588874547976953","0.16202871882554257","","","2051.714611530304"
"cnn_euclidean_4","euclidean","4","3.0948723813520167","finished","-","eitan-turok","","2023-05-07T19:19:05.000Z","2075","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.0008825768119377363","0.0008843953365159005","2.973878505446886","0.1589840172336559","2.953214059562619","2.965292744170495","0.00095782350568555","0.0008721473281598323","0.0008792961058630184","0.16311762959631765","0.1625638411586935","0.15778493240024105","","","2048.1675901412964"
"cnn_euclidean_2","euclidean","2","5.425083704240141","finished","-","eitan-turok","","2023-05-07T18:46:21.000Z","1954","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","46","0","0.0027746731268556476","0.0028003031712476954","5.291789084277354","0.2863570667998959","5.303005572503286","5.243405247452914","0.0029431533198011933","0.0028121868102000906","0.0027493298589016755","0.29673963035246403","0.29227660584449766","0.2864870354984746","","","1925.8888490200045"
"cnn_euclidean_2","euclidean","2","5.338993970897109","finished","-","eitan-turok","","2023-05-07T18:11:37.000Z","2074","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","45","0","0.002758996484535081","0.002743961559749688","5.238283649965596","0.2886228570191547","5.288389751905526","5.174859065202042","0.002850485662127568","0.0027967066168059387","0.002677916634470375","0.2962616018427565","0.29346654523502697","0.2864404047137559","","","2047.23463845253"
"cnn_euclidean_2","euclidean","2","5.420276043523182","finished","-","eitan-turok","","2023-05-07T17:36:55.000Z","2072","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","44","0","0.002735158143806961","0.002680404091329135","5.177261912757683","0.28275197851537454","5.284928581325541","5.177038273206904","0.0029379392387991316","0.0027930470109711605","0.0026801725282249124","0.2940936640258337","0.2900758147208722","0.28213294326656996","","","2044.244221687317"
"cnn_euclidean_2","euclidean","2","5.4503487285132834","finished","-","eitan-turok","","2023-05-07T17:02:12.000Z","2073","","128","0","100","0.001","2368","mse","cnn","11","150","7000","100","false","43","0","0.00271321314817609","0.002721261327916926","5.216571026945695","0.2830792002003602","5.252150334981438","5.191867633934785","0.002970630126240636","0.0027585083141245625","0.002695548952829958","0.2968383234005913","0.28759644750805646","0.27869853147954654","","","2045.2619955539703"
